id,role_id,privilege_id,created_at
02c73cae-e31c-4096-914b-eaac29ccdaa4,8a11b829-5e68-44ee-8439-ba58307b78e1,b59af4c9-2dd7-4c99-a4c2-f36fc45adab3,2025-12-11 14:47:59.998241+00
0a070744-b01d-4ad2-a507-2d6c8037f1ee,8a11b829-5e68-44ee-8439-ba58307b78e1,ab3182c0-b92b-43e4-8258-bb2f33d178a1,2025-12-11 14:47:59.998241+00
a3c46b8e-597b-4200-9b36-71d5892d24cf,8a11b829-5e68-44ee-8439-ba58307b78e1,6ade095a-5dcb-4323-886e-0e1290798345,2025-12-11 14:47:59.998241+00
4ef731fb-f84c-46d5-9f8a-877046ad04bc,8a11b829-5e68-44ee-8439-ba58307b78e1,66114c78-4c5e-450f-b61d-e3d7aa5be0f5,2025-12-11 14:47:59.998241+00
c2b75594-6e37-48dc-a4da-89cbdefaa833,8a11b829-5e68-44ee-8439-ba58307b78e1,42717957-38b6-4d50-a797-1f5b23ce2201,2025-12-11 14:47:59.998241+00
321b22df-35be-449d-8026-e83ed4dbd141,8a11b829-5e68-44ee-8439-ba58307b78e1,07d322a2-bb5c-41e9-b4db-2732976f5b3a,2025-12-11 14:47:59.998241+00
c7c7fdb0-876c-493e-980d-d8969b9b276d,8a11b829-5e68-44ee-8439-ba58307b78e1,cf20f3a9-4f37-4724-b49d-0c5e165502d5,2025-12-11 14:47:59.998241+00
265f1594-0c03-4192-ac21-74cf9eea45c6,9396c9f6-45cc-494c-9ac3-78cabfe23c89,378c249d-52f2-4b3e-99bf-9caf586feb4c,2025-12-11 14:47:59.998241+00
2e2d884e-ac53-4d92-8bbd-b267ed1e47c9,9396c9f6-45cc-494c-9ac3-78cabfe23c89,43b06529-d8b9-4075-b19b-ca5980dc1cc8,2025-12-11 14:47:59.998241+00
6a6b732a-2d39-4b97-b41b-d42c55543931,9396c9f6-45cc-494c-9ac3-78cabfe23c89,d232d869-3d4e-4bb4-8920-6917b2ae65e3,2025-12-11 14:47:59.998241+00
fe5bd6ce-78f2-4f29-b1b0-e10c399e309f,9396c9f6-45cc-494c-9ac3-78cabfe23c89,4a25be77-99eb-4c40-bfdb-2a27cbb4df57,2025-12-11 14:47:59.998241+00
a7781b00-94db-4c8c-93bf-808d0f79faab,9396c9f6-45cc-494c-9ac3-78cabfe23c89,dcb4c346-b891-4d6b-8d9f-b22b12231ca1,2025-12-11 14:47:59.998241+00
6025edda-da1f-4706-a5ba-0026f8b6b8e3,9396c9f6-45cc-494c-9ac3-78cabfe23c89,7403b69f-cfe9-481b-8a5a-4f3761fc8755,2025-12-11 14:47:59.998241+00
da6e8fd5-9aed-45b4-ba41-4715c2094b4b,9396c9f6-45cc-494c-9ac3-78cabfe23c89,32f2e927-d0f2-4f7a-90b4-7dc69f046a90,2025-12-11 14:47:59.998241+00
a2e28748-f35d-4d4e-95c3-72abe3ffd63b,9396c9f6-45cc-494c-9ac3-78cabfe23c89,1b45773d-1084-4f5d-af42-87f9d9654668,2025-12-11 14:47:59.998241+00
1af257f1-2b74-49d1-9d84-906bb0dd3542,9396c9f6-45cc-494c-9ac3-78cabfe23c89,83767d20-7160-4b45-a9cb-cc4b1abed845,2025-12-11 14:47:59.998241+00
06e32eaf-74a3-4d06-acc2-9a70c3097471,9396c9f6-45cc-494c-9ac3-78cabfe23c89,b59af4c9-2dd7-4c99-a4c2-f36fc45adab3,2025-12-11 14:47:59.998241+00
bcb68a12-8734-4914-9aa8-191cf2005cce,9396c9f6-45cc-494c-9ac3-78cabfe23c89,ec5abff5-e28a-488e-9fef-462a00b34848,2025-12-11 14:47:59.998241+00
a64cdf24-b8a1-4e38-afb9-e0a3c4100a49,9396c9f6-45cc-494c-9ac3-78cabfe23c89,f7309c36-7385-4d9f-9ff5-38bca469b30f,2025-12-11 14:47:59.998241+00
40a10caf-df78-45f3-b762-33841db4850f,9396c9f6-45cc-494c-9ac3-78cabfe23c89,ab3182c0-b92b-43e4-8258-bb2f33d178a1,2025-12-11 14:47:59.998241+00
4a301d6a-5752-456d-ace4-a0ff50c96d5f,9396c9f6-45cc-494c-9ac3-78cabfe23c89,6ade095a-5dcb-4323-886e-0e1290798345,2025-12-11 14:47:59.998241+00
4594035e-fd95-4581-beeb-a4f1fdb35c69,9396c9f6-45cc-494c-9ac3-78cabfe23c89,66114c78-4c5e-450f-b61d-e3d7aa5be0f5,2025-12-11 14:47:59.998241+00
7b90a407-8f37-4de9-8276-1bb724a293f6,9396c9f6-45cc-494c-9ac3-78cabfe23c89,c6db3d6c-51e2-4b8b-95da-570902157552,2025-12-11 14:47:59.998241+00
0a81b4fc-5d73-4964-b6d4-8c2906e111a7,9396c9f6-45cc-494c-9ac3-78cabfe23c89,42717957-38b6-4d50-a797-1f5b23ce2201,2025-12-11 14:47:59.998241+00
30f320f2-b376-41f2-a0c3-8cb5df4d4b80,9396c9f6-45cc-494c-9ac3-78cabfe23c89,07d322a2-bb5c-41e9-b4db-2732976f5b3a,2025-12-11 14:47:59.998241+00
a499e583-80e9-4d0a-b9ac-4ad2a64d8217,9396c9f6-45cc-494c-9ac3-78cabfe23c89,cf20f3a9-4f37-4724-b49d-0c5e165502d5,2025-12-11 14:47:59.998241+00
ef53de2e-3495-4c12-8f8f-06f98b691d45,2d7ff6fb-f853-4eb9-a367-4d57b8419801,378c249d-52f2-4b3e-99bf-9caf586feb4c,2025-12-11 14:47:59.998241+00
4b441ccd-eb63-4cd5-990f-82e1698949ca,2d7ff6fb-f853-4eb9-a367-4d57b8419801,43b06529-d8b9-4075-b19b-ca5980dc1cc8,2025-12-11 14:47:59.998241+00
9b22daa6-4f45-4657-b388-a9ae3c497b55,2d7ff6fb-f853-4eb9-a367-4d57b8419801,d232d869-3d4e-4bb4-8920-6917b2ae65e3,2025-12-11 14:47:59.998241+00
7294992b-6efe-4ae7-9866-4662f25157b9,2d7ff6fb-f853-4eb9-a367-4d57b8419801,4a25be77-99eb-4c40-bfdb-2a27cbb4df57,2025-12-11 14:47:59.998241+00
1cc6c92d-7b96-48cf-b1d5-960ceadde73f,2d7ff6fb-f853-4eb9-a367-4d57b8419801,dcb4c346-b891-4d6b-8d9f-b22b12231ca1,2025-12-11 14:47:59.998241+00
eeea9a8e-e40e-4121-bac1-de3f3e564d03,2d7ff6fb-f853-4eb9-a367-4d57b8419801,ec5abff5-e28a-488e-9fef-462a00b34848,2025-12-11 14:47:59.998241+00
d68200a1-c981-4ce7-a82c-1e072523483a,2d7ff6fb-f853-4eb9-a367-4d57b8419801,f7309c36-7385-4d9f-9ff5-38bca469b30f,2025-12-11 14:47:59.998241+00
